time average_recover sd_R av_Infected sd_I
 289 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 290 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 291 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 292 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 293 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 294 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 295 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 296 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 297 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 298 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 299 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 300 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
